modelo,split,accuracy,balanced_accuracy,f1_macro
XGBoost,test,0.971405877680699,0.9724126774280387,0.9698299098698787
LogisticRegression,test,0.9690230341540905,0.9669638096540711,0.9657905790976176
SVM_LinearSVC,test,0.9626687847498014,0.9602586356169164,0.9591761774467233
XGBoost,train,1.0,1.0,1.0
SVM_LinearSVC,train,0.9975973914535782,0.9978262111543622,0.9976595140270269
LogisticRegression,train,0.9943367084262914,0.9946356605599669,0.9939950633613588
XGBoost,validation,0.9727782225780625,0.9720545143145196,0.9719764406520852
LogisticRegression,validation,0.9727782225780625,0.9706685940215299,0.9688950381159773
SVM_LinearSVC,validation,0.9711769415532426,0.9696632436386123,0.9680605162955419
